2017-02-14 20-28-40 | Initializing librouter...
2017-02-14 20-28-40 | Getting modules...
2017-02-14 20-28-40 | Loading settings...
2017-02-14 20-28-40 | Loading pairs...
2017-02-14 20-28-40 | Loading filter rules...
2017-02-14 20-28-40 | *** LoadFilterRules: No rules loaded
2017-02-14 20-28-40 | Loading IP exclusions...
2017-02-14 20-28-40 | Setting up user interface...
2017-02-14 20-28-40 | Loading port list...
2017-02-14 20-28-40 | Loading IP range list...
2017-02-14 20-28-40 | Initialization done
2017-02-14 20-29-02 | Starting portscan...
2017-02-14 20-29-04 | Portscan is finished
2017-02-14 20-29-14 | Closing, saving settings...
2017-02-14 20-29-14 | Normal program termination
